message_id,action,message_type,reason,confidence,evidence_message_ids
msg_065,notify,promotion,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0260;message_0261;message_0262
msg_038,notify,urgent,Urgency: Detected time-sensitive keywords (['urgent']).,0.9,message_0131;message_0082;message_0132
msg_086,notify,business_update,Default notify,0.5,none
msg_014,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0258;message_0018;message_0017
msg_094,notify,promotion,"Urgency: Detected time-sensitive keywords (['today', 'tonight']).",0.9,message_0356;message_0048;message_0357
msg_029,digest,forward,Group messages default to digest.,0.6,message_0095;message_0113;message_0049
msg_105,notify,forward,Default notify,0.5,message_0373;message_0233;message_0122
msg_002,digest,event,Group messages default to digest.,0.6,message_0003;message_0266;message_0059
msg_010,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0011;message_0242;message_0075
msg_078,notify,urgent,Urgency: Detected time-sensitive keywords (['urgent']).,0.9,message_0220;message_0204;message_0163
msg_013,digest,promotion,Group messages default to digest.,0.6,message_0081;message_0343;message_0341
msg_018,digest,urgent,Group messages default to digest.,0.6,message_0026;message_0092;message_0075
msg_044,digest,payment,Group messages default to digest.,0.6,message_0143;message_0222;message_0362
msg_032,digest,personal,Group messages default to digest.,0.6,message_0119;message_0285;message_0175
msg_106,digest,urgent,Fatigue: User is suffering notification fatigue.,0.7,message_0376;message_0234;message_0294
msg_006,digest,urgent,Group messages default to digest.,0.6,message_0097;message_0067;message_0029
msg_109,digest,greeting,Group messages default to digest.,0.6,message_0151;message_0030;message_0271
msg_108,mute,scam,"Risk: High risk detected (['domain_mismatch', 'high_user_reports']).",0.95,message_0094;message_0093;message_0277
msg_019,mute,scam,"Risk: High risk detected (['domain_mismatch', 'high_user_reports']).",0.95,message_0277;message_0275;message_0276
msg_088,mute,personal,Preference: Group explicitly muted.,0.9,none
msg_056,mute,urgent,Preference: Group explicitly muted.,0.9,message_0226;message_0217;message_0360
msg_027,notify,business_update,Default notify,0.5,message_0272;message_0033;message_0007
msg_050,mute,scam,Risk: High risk detected (['domain_mismatch']).,0.95,message_0279;message_0278;message_0280
msg_083,digest,personal,Group messages default to digest.,0.6,none
msg_063,notify,urgent,"Urgency: Detected time-sensitive keywords (['urgent', 'today']).",0.9,message_0364;message_0365;message_0254
msg_033,notify,promotion,Urgency: Detected time-sensitive keywords (['urgent']).,0.9,message_0121;message_0372;message_0122
msg_061,mute,forward,Preference: Group explicitly muted.,0.9,message_0080;message_0079;message_0042
msg_020,notify,urgent,"Urgency: Detected time-sensitive keywords (['urgent', 'today']).",0.9,message_0096;message_0114;message_0049
msg_017,mute,urgent,Preference: Group explicitly muted.,0.9,message_0319;message_0089;message_0090
msg_058,mute,forward,Preference: Group explicitly muted.,0.9,message_0040;message_0241;message_0078
msg_026,mute,scam,"Risk: High risk detected (['domain_mismatch', 'high_user_reports']).",0.95,message_0032;message_0107;message_0260
msg_047,digest,urgent,Group messages default to digest.,0.6,message_0001;message_0151;message_0129
msg_046,digest,payment,Group messages default to digest.,0.6,message_0148;message_0407;message_0251
msg_042,digest,personal,Group messages default to digest.,0.6,message_0058;message_0140;message_0217
msg_079,digest,payment,Group messages default to digest.,0.6,message_0369;message_0221;message_0263
msg_098,notify,urgent,"Urgency: Detected time-sensitive keywords (['call me now', 'tomorrow']).",0.9,message_0226;message_0168;message_0360
msg_037,digest,greeting,Group messages default to digest.,0.6,message_0001;message_0271;message_0237
msg_007,digest,greeting,Group messages default to digest.,0.6,message_0275;message_0276;message_0277
msg_085,mute,scam,"Risk: High risk detected (['domain_mismatch', 'high_user_reports']).",0.95,none
msg_001,digest,greeting,Group messages default to digest.,0.6,message_0240;message_0106;message_0217
msg_021,digest,payment,Group messages default to digest.,0.6,message_0029;message_0044;message_0099
msg_028,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0034;message_0104;message_0259
msg_012,digest,forward,Group messages default to digest.,0.6,message_0194;message_0178;message_0247
msg_064,digest,urgent,Group messages default to digest.,0.6,message_0147;message_0201;message_0087
msg_103,notify,greeting,Default notify,0.5,message_0065;message_0382;message_0231
msg_031,notify,urgent,"Urgency: Detected time-sensitive keywords (['tomorrow', 'tonight']).",0.9,message_0143;message_0036;message_0222
msg_057,digest,personal,Group messages default to digest.,0.6,message_0266;message_0003;message_0059
msg_087,mute,personal,Preference: Group explicitly muted.,0.9,none
msg_067,digest,payment,Group messages default to digest.,0.6,message_0098;message_0068;message_0271
msg_039,digest,payment,Group messages default to digest.,0.6,message_0364;message_0365;message_0051
msg_082,digest,personal,Group messages default to digest.,0.6,none
msg_066,notify,promotion,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0257;message_0402;message_0052
msg_049,notify,urgent,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0154;message_0291;message_0153
msg_015,digest,payment,Group messages default to digest.,0.6,message_0023;message_0045;message_0221
msg_051,notify,promotion,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0257;message_0402;message_0052
msg_097,notify,urgent,"Urgency: Detected time-sensitive keywords (['urgent', 'tomorrow']).",0.9,message_0359;message_0167;message_0054
msg_089,notify,urgent,Default notify,0.5,message_0299;message_0396;message_0300
msg_053,digest,forward,Group messages default to digest.,0.6,message_0411;message_0161;message_0253
msg_059,digest,urgent,Group messages default to digest.,0.6,message_0221;message_0263;message_0053
msg_024,notify,promotion,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0257;message_0402;message_0052
msg_072,digest,payment,Group messages default to digest.,0.6,message_0369;message_0023;message_0045
msg_036,mute,scam,"Risk: High risk detected (['domain_mismatch', 'high_user_reports']).",0.95,message_0283;message_0127;message_0281
msg_076,mute,scam,"Risk: High risk detected (['domain_mismatch', 'high_user_reports']).",0.95,message_0207;message_0208;message_0159
msg_055,notify,urgent,Urgency: Detected time-sensitive keywords (['urgent']).,0.9,message_0166;message_0165;message_0398
msg_102,digest,greeting,Fatigue: User is suffering notification fatigue.,0.7,message_0371;message_0230;message_0062
msg_080,digest,greeting,Group messages default to digest.,0.6,message_0271;message_0237;message_0216
msg_093,notify,payment,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0387;message_0398;message_0349
msg_034,notify,promotion,Urgency: Detected time-sensitive keywords (['urgent']).,0.9,message_0013;message_0167;message_0054
msg_035,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0281;message_0125;message_0283
msg_101,digest,personal,Fatigue: User is suffering notification fatigue.,0.7,message_0370;message_0229;message_0268
msg_041,notify,urgent,Default notify,0.5,message_0137;message_0360;message_0226
msg_011,mute,urgent,Preference: Group explicitly muted.,0.9,message_0014;message_0013;message_0123
msg_110,notify,urgent,Urgency: Detected time-sensitive keywords (['urgent']).,0.9,message_0238;message_0320;message_0380
msg_095,digest,payment,Fatigue: User is suffering notification fatigue.,0.7,message_0252;message_0201;message_0087
msg_074,mute,payment,Preference: Group explicitly muted.,0.9,message_0389;message_0204;message_0203
msg_073,notify,urgent,"Urgency: Detected time-sensitive keywords (['immediately', 'today']).",0.9,message_0147;message_0252;message_0201
msg_054,digest,urgent,Group messages default to digest.,0.6,message_0389;message_0220;message_0203
msg_068,digest,greeting,Group messages default to digest.,0.6,message_0191
msg_100,notify,payment,Default notify,0.5,message_0362;message_0228;message_0117
msg_062,digest,urgent,Group messages default to digest.,0.6,message_0043;message_0098;message_0068
msg_096,digest,personal,Fatigue: User is suffering notification fatigue.,0.7,message_0354
msg_043,digest,forward,Group messages default to digest.,0.6,message_0151;message_0270;message_0097
msg_077,digest,urgent,Group messages default to digest.,0.6,message_0364;message_0403;message_0051
msg_081,digest,personal,Group messages default to digest.,0.6,none
msg_025,notify,urgent,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0239;message_0004;message_0105
msg_084,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,none
msg_022,digest,payment,Group messages default to digest.,0.6,message_0151;message_0099;message_0270
